2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
Camargo 691            ;Cas  ;01 12 59.0 +63 05 33 ;Op   ;OC?  ;    2.20;      ;       ;                                                       ;Impressive dusty core
Camargo 693            ;Cas  ;01 16 00.0 +64 47 25 ;IR   ;OC?  ;    2.50;      ;       ;                                                       ;Substructure in Majaess 24
Camargo 696            ;Cas  ;01 16 18.0 +64 21 37 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty stellar core
Camargo 697            ;Cas  ;01 16 48.0 +64 45 41 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In group, impressive
Camargo 698            ;Cas  ;01 17 46.0 +64 25 59 ;IR   ;OC?  ;    8.00;      ;       ;                                                       ;Impressive core
Camargo 699            ;Cas  ;01 27 22.0 +63 28 54 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;Prominent
Camargo 7              ;Cam  ;05 46 19.0 +60 56 45 ;Op   ;OC?  ;   12.00;  2600;       ;                                                       ;Dubious
Camargo 701            ;Cas  ;01 28 41.0 +63 27 34 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Impressive
Camargo 702            ;Cas  ;01 32 07.0 +63 28 55 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Impressive, shock
Camargo 705            ;Cas  ;01 35 43.0 +63 05 50 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Impressive, include substructures
Camargo 708            ;Cas  ;01 42 37.0 +63 48 52 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;Dusty core, impressive
Camargo 709            ;Cas  ;01 46 41.0 +64 14 22 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty core
Camargo 710            ;Cas  ;01 43 37.0 +62 04 02 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty core
Camargo 711            ;Cas  ;01 48 30.0 +64 09 05 ;Op   ;OC?  ;    1.40;      ;       ;                                                       ;Dusty stellar core
Camargo 713            ;Cas  ;01 52 43.0 +61 35 58 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;Impressive
Camargo 719            ;Cas  ;02 17 17.0 +61 57 09 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Poor
Camargo 72             ;Gem  ;06 27 58.0 +12 26 12 ;Op   ;OC   ;    6.00;  3270;       ;                                                       ;
Camargo 720            ;Cas  ;02 18 16.0 +61 54 05 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 721            ;Cas  ;02 15 14.0 +60 00 04 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 722            ;Cas  ;02 21 26.0 +62 02 07 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 724            ;Cas  ;02 19 22.0 +61 07 09 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In shock, poor, stellar dusty core, in group
Camargo 727            ;Cas  ;02 22 57.0 +61 58 41 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Loose, little dust
Camargo 728            ;Cas  ;02 21 08.0 +61 27 18 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In shock, impressive, poor
Camargo 729            ;Cas  ;02 22 41.0 +61 48 43 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Incl dusty structure
Camargo 730            ;Cas  ;02 21 05.0 +61 06 06 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In group
Camargo 731            ;Cas  ;02 24 30.0 +62 03 31 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Faint
Camargo 736            ;Cas  ;02 24 40.0 +61 25 19 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small stellar core
Camargo 737            ;Cas  ;02 27 16.0 +62 00 05 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;In group, poor
Camargo 738            ;Cas  ;02 26 33.0 +61 41 16 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Dust core, rather faint
Camargo 739            ;Cas  ;02 25 47.5 +61 20 55 ;IR   ;OC?  ;    0.20;      ;       ;                                                       ;Very close pair with Camargo 740
Camargo 740            ;Cas  ;02 25 51.1 +61 20 51 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;Very close pair with Camargo 739
Camargo 741            ;Cas  ;02 25 39.0 +61 13 33 ;IR   ;OC   ;    6.00;  2800;   6.00;                                                       ;Small dusty stellar core
Camargo 746            ;Cas  ;02 31 55.0 +62 03 33 ;Op   ;OC?  ;    3.60;      ;       ;                                                       ;Impressive shock, dusty core
Camargo 748            ;Cas  ;02 31 02.0 +61 41 08 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Camargo 749            ;Cas  ;02 33 00.0 +62 12 00 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;Distant?
Camargo 750            ;Cas  ;02 52 17.0 +60 03 16 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Core in cometary nebula, in multiple system
Camargo 752            ;Cas  ;02 29 45.0 +60 57 28 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;In shock,poor
Camargo 753            ;Cas  ;02 35 02.0 +62 26 43 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;In bubble,very small core
Camargo 754            ;Cas  ;02 31 59.0 +61 04 26 ;Op   ;OC?  ;    4.80;      ;       ;                                                       ;In shock
Camargo 756            ;Cas  ;02 32 14.0 +60 25 42 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In dust cirrus,poor
Camargo 757            ;Cas  ;02 33 40.0 +60 24 11 ;IR   ;OC?  ;    3.00;      ;       ;                                                       ;In dust bubble
Camargo 761            ;Cas  ;02 57 21.0 +60 39 54 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In mult cluster system
Camargo 762            ;Cas  ;02 48 34.0 +62 46 45 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;Dusty core
Camargo 763            ;Cas  ;02 37 11.0 +59 42 31 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Large dusty core, protocluster?
Camargo 764            ;Cas  ;02 40 31.0 +60 34 37 ;Op   ;OC?  ;    2.40;      ;       ;                                                       ;Inc dusty structure
Camargo 765            ;Cas  ;02 41 29.0 +60 43 24 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;
Camargo 766            ;Cas  ;02 41 24.0 +60 33 12 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;Prominent, little dust
Camargo 767            ;Cas  ;02 44 40.0 +60 42 30 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small dusty core, shocks
Camargo 768            ;Cas  ;02 45 11.0 +60 49 35 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty core
Camargo 769            ;Cas  ;02 44 24.0 +60 34 16 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small stellar core
Camargo 771            ;Cas  ;02 47 09.0 +61 02 17 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In mult system
Camargo 772            ;Cas  ;02 40 17.0 +58 58 12 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Prominent, shocks
Camargo 773            ;Cas  ;02 49 15.0 +61 00 29 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty core in multiple system
Camargo 779            ;Cas  ;02 51 33.0 +60 03 52 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In mult system, in comet neb
Camargo 781            ;Cas  ;02 58 08.0 +61 12 54 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
Camargo 782            ;Cas  ;02 55 38.0 +60 38 21 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;2 shock fronts, in multip syst
Camargo 785            ;Cas  ;03 15 26.0 +60 53 21 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;In dust cirrus
Camargo 786            ;Cas  ;03 13 58.0 +60 21 17 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Little dust
Camargo 787            ;Cas  ;03 15 59.0 +60 28 31 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty core
Camargo 788            ;Cam  ;03 17 28.0 +60 32 24 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Dusty core
Camargo 789            ;Cas  ;03 15 11.0 +59 54 44 ;Op   ;OC   ;    5.00;  3100;   6.48;                                                       ;Prominent
Camargo 790            ;Cas  ;03 15 11.0 +59 49 08 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Impressive, core in cometary nebula
Camargo 791            ;Cam  ;03 18 57.0 +60 22 03 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small dusty and stellar core
Camargo 794            ;Cam  ;03 20 53.0 +60 01 48 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Prominent
Camargo 795            ;Cam  ;03 27 44.0 +58 03 27 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Small dusty stellar core
Camargo 796            ;Cam  ;03 29 53.0 +58 04 52 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;
Camargo 797            ;Cam  ;03 33 51.0 +58 07 53 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small double dusty core
Camargo 798            ;Cam  ;03 33 52.0 +57 32 40 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Incl substructure
Camargo 799            ;Cam  ;04 11 04.0 +60 37 46 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Compact core
Camargo 801            ;Cam  ;03 48 47.0 +55 54 54 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Gas expulsion? lg irreg dusty core
Camargo 805            ;Cam  ;03 58 19.0 +54 39 39 ;IR   ;OC?  ;    7.00;      ;       ;                                                       ;Dusty irreg core, gas expulsion?
Camargo 807            ;Cam  ;03 55 30.0 +53 45 43 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Prominent, in pair w Bica 239
Camargo 808            ;Cam  ;03 56 47.0 +53 54 33 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In pair,smaller cluster
Camargo 809            ;Cam  ;04 05 36.0 +55 16 25 ;IR   ;OC?  ;    2.50;      ;       ;                                                       ;Dusty core
Camargo 810            ;Cam  ;03 53 59.0 +53 12 58 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Small dusty core
